datetime,day_of_week,max_temp,min_temp,solar_exposure,holiday,consumption_MW,retail_price
2017-01-01 00:30:00,Sunday,21.1,16.8,8.5,New Year's Day,4097.58,15.94
2017-01-01 01:00:00,Sunday,21.1,16.8,8.5,New Year's Day,4034.74,20.16
2017-01-01 01:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3851.7,20.78
2017-01-01 02:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3649.99,22.23
2017-01-01 02:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3517.65,24.23
2017-01-01 03:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3451.31,25.2
2017-01-01 03:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3425.46,25.2
2017-01-01 04:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3386.31,26.38
2017-01-01 04:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3376.15,25.2
2017-01-01 05:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3375.54,25.2
2017-01-01 05:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3407.52,25.11
2017-01-01 06:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3411.91,27.11
2017-01-01 06:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3480.76,27.29
2017-01-01 07:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3540.58,25.45
2017-01-01 07:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3461.9,24.42
2017-01-01 08:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3548.14,26.14
2017-01-01 08:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3627.75,31.48
2017-01-01 09:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3767.76,28.28
2017-01-01 09:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3847.46,25.35
2017-01-01 10:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3813.49,21.34
2017-01-01 10:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3861.44,21.75
2017-01-01 11:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3882.12,21.19
2017-01-01 11:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3908.8,33.52
2017-01-01 12:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3866.01,43.65
2017-01-01 12:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3725.29,25.02
2017-01-01 13:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3740.49,38.57
2017-01-01 13:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3751.15,31.98
2017-01-01 14:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3741.2,27.39
2017-01-01 14:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3786.38,30.96
2017-01-01 15:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3836.29,26.7
2017-01-01 15:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3822.31,23.08
2017-01-01 16:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3849.07,20.74
2017-01-01 16:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3842.1,16.97
2017-01-01 17:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3918.65,25.71
2017-01-01 17:30:00,Sunday,21.1,16.8,8.5,New Year's Day,4010.31,28.24
2017-01-01 18:00:00,Sunday,21.1,16.8,8.5,New Year's Day,4046.88,28.06
2017-01-01 18:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3941.12,24.7
2017-01-01 19:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3852.79,23.09
2017-01-01 19:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3740.67,19.17
2017-01-01 20:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3737.66,23.66
2017-01-01 20:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3779.27,23.62
2017-01-01 21:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3766.86,23.76
2017-01-01 21:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3665.79,23.67
2017-01-01 22:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3545.54,27.5
2017-01-01 22:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3489.48,29.96
2017-01-01 23:00:00,Sunday,21.1,16.8,8.5,New Year's Day,3512.85,27.95
2017-01-01 23:30:00,Sunday,21.1,16.8,8.5,New Year's Day,3770.29,28.81
2017-01-02 00:00:00,Monday,17.8,14.8,7.8,Additional day,3868.47,36.66
2017-01-02 00:30:00,Monday,17.8,14.8,7.8,Additional day,3656.85,29.5
2017-01-02 01:00:00,Monday,17.8,14.8,7.8,Additional day,3484.52,28.04
2017-01-02 01:30:00,Monday,17.8,14.8,7.8,Additional day,3340.5,24.26
2017-01-02 02:00:00,Monday,17.8,14.8,7.8,Additional day,3199.54,23.32
2017-01-02 02:30:00,Monday,17.8,14.8,7.8,Additional day,3074.83,23.48
2017-01-02 03:00:00,Monday,17.8,14.8,7.8,Additional day,3033.79,23.02
2017-01-02 03:30:00,Monday,17.8,14.8,7.8,Additional day,3007.65,25.67
2017-01-02 04:00:00,Monday,17.8,14.8,7.8,Additional day,2967.21,21.98
2017-01-02 04:30:00,Monday,17.8,14.8,7.8,Additional day,3018.74,27.11
2017-01-02 05:00:00,Monday,17.8,14.8,7.8,Additional day,3114.56,29.62
2017-01-02 05:30:00,Monday,17.8,14.8,7.8,Additional day,3189.72,28.42
2017-01-02 06:00:00,Monday,17.8,14.8,7.8,Additional day,3218.99,26.88
2017-01-02 06:30:00,Monday,17.8,14.8,7.8,Additional day,3328.55,17.8
